Dataset,h,Model,MAE_mean,MAE_std,Bias_mean,Bias_std,PM_mean,PM_std,n_seeds,MAE,Bias,PM
BTC,7,TCN,3909.5383,68.977,280.8253,183.6206,0.1046,0.0046,3,"3,909.5 ± 69.0",280.8 ± 183.6,0.1 ± 0.0
BTC,7,ARIMA,4207.17158404141,,380.3101206096581,,0.15682620765931532,,1,"4,207.2",380.3,0.2
BTC,7,SARIMA,4250.5842076802,,804.8165925822973,,0.16006783734259583,,1,"4,250.6",804.8,0.2
BTC,7,Autoformer,8513.0525,295.3894,3157.2935,152.7314,0.4339,0.0312,3,"8,513.1 ± 295.4","3,157.3 ± 152.7",0.4 ± 0.0
BTC,7,Autoformer_NoDecomp,8682.6615,0.0,2397.5158,0.0,0.4585,0.0,3,"8,682.7 ± 0.0","2,397.5 ± 0.0",0.5 ± 0.0
BTC,14,TCN,4510.0772,71.4967,583.3673,418.1031,0.1556,0.0043,3,"4,510.1 ± 71.5",583.4 ± 418.1,0.2 ± 0.0
BTC,14,ARIMA,5865.339382739317,,763.359160832321,,0.28433306245212747,,1,"5,865.3",763.4,0.3
BTC,14,SARIMA,5967.429600127444,,1611.3740571028254,,0.29173281925728256,,1,"5,967.4","1,611.4",0.3
BTC,14,Autoformer,9242.9416,47.6609,3368.8345,166.2916,0.5154,0.0057,3,"9,242.9 ± 47.7","3,368.8 ± 166.3",0.5 ± 0.0
BTC,14,Autoformer_NoDecomp,9321.2587,0.0,2573.2661,0.0,0.5251,0.0,3,"9,321.3 ± 0.0","2,573.3 ± 0.0",0.5 ± 0.0
BTC,30,TCN,6105.9925,84.8744,2416.3063,561.6626,0.2811,0.0119,3,"6,106.0 ± 84.9","2,416.3 ± 561.7",0.3 ± 0.0
BTC,30,ARIMA,8947.039059798173,,1513.5474940121933,,0.5590968940851293,,1,"8,947.0","1,513.5",0.6
BTC,30,SARIMA,9315.965041476065,,3332.1225941717007,,0.5902772245398,,1,"9,316.0","3,332.1",0.6
BTC,30,Autoformer,10249.2371,38.505,3327.999,70.4489,0.6094,0.0052,3,"10,249.2 ± 38.5","3,328.0 ± 70.4",0.6 ± 0.0
BTC,30,Autoformer_NoDecomp,10549.7265,0.0,2492.2609,0.0,0.6531,0.0,3,"10,549.7 ± 0.0","2,492.3 ± 0.0",0.7 ± 0.0
