Dataset,h,Model,MAE_mean,MAE_std,Bias_mean,Bias_std,PM_mean,PM_std,n_seeds,MAE,Bias,PM
SP500,7,TCN,107.7703,4.2684,-20.1374,13.5054,0.0892,0.0014,3,107.8 ± 4.3,-20.1 ± 13.5,0.1 ± 0.0
SP500,7,SARIMA,109.76191704622926,,-18.57278986312275,,0.09244431497511506,,1,109.8,-18.6,0.1
SP500,7,ARIMA,113.01316017316017,,-32.224069264069264,,0.09326942957665194,,1,113.0,-32.2,0.1
SP500,7,Autoformer,211.9633,2.914,-16.0607,3.6704,0.305,0.0084,3,212.0 ± 2.9,-16.1 ± 3.7,0.3 ± 0.0
SP500,7,Autoformer_NoDecomp,213.6156,0.0,-42.8521,0.0,0.2752,0.0,3,213.6 ± 0.0,-42.9 ± 0.0,0.3 ± 0.0
SP500,14,TCN,141.2223,4.7664,-6.2804,6.953,0.1399,0.0073,3,141.2 ± 4.8,-6.3 ± 7.0,0.1 ± 0.0
SP500,14,SARIMA,144.30006324827113,,-41.64878302534035,,0.15409557322202996,,1,144.3,-41.6,0.2
SP500,14,ARIMA,154.691341991342,,-70.28735930735931,,0.1614626581660198,,1,154.7,-70.3,0.2
SP500,14,Autoformer,222.8854,2.2109,-55.0991,5.0453,0.3247,0.005,3,222.9 ± 2.2,-55.1 ± 5.0,0.3 ± 0.0
SP500,14,Autoformer_NoDecomp,230.8302,0.0,-63.7321,0.0,0.3194,0.0,3,230.8 ± 0.0,-63.7 ± 0.0,0.3 ± 0.0
SP500,30,SARIMA,205.90832826540824,,-95.29752406255717,,0.34435781091495643,,1,205.9,-95.3,0.3
SP500,30,TCN,210.4697,3.4134,8.5857,9.2044,0.3287,0.0035,3,210.5 ± 3.4,8.6 ± 9.2,0.3 ± 0.0
SP500,30,Autoformer,220.0513,7.4737,-55.238,13.1277,0.3583,0.0175,3,220.1 ± 7.5,-55.2 ± 13.1,0.4 ± 0.0
SP500,30,ARIMA,232.09030303030303,,-158.5931601731602,,0.39853777471245383,,1,232.1,-158.6,0.4
SP500,30,Autoformer_NoDecomp,263.0578,0.0,-115.0556,0.0,0.4388,0.0,3,263.1 ± 0.0,-115.1 ± 0.0,0.4 ± 0.0
