Dataset,h,Model,MAE_mean,MAE_std,Bias_mean,Bias_std,PM_mean,PM_std,n_seeds,MAE,Bias,PM
FRED,7,TCN,0.0871,0.003,0.0441,0.0092,0.6769,0.046,3,0.1 ± 0.0,0.0 ± 0.0,0.7 ± 0.0
FRED,7,ARIMA,0.08888057580242179,,0.0104882267690227,,0.6321156049955899,,1,0.1,0.0,0.6
FRED,7,SARIMA,0.08915929203539825,,0.010221238938053092,,0.6395516101847327,,1,0.1,0.0,0.6
FRED,7,Autoformer_NoDecomp,0.1071,0.0,0.0832,0.0,0.9877,0.0,3,0.1 ± 0.0,0.1 ± 0.0,1.0 ± 0.0
FRED,7,Autoformer,0.1799,0.0015,0.0401,0.0015,2.6655,0.0277,3,0.2 ± 0.0,0.0 ± 0.0,2.7 ± 0.0
FRED,14,ARIMA,0.10947215027616508,,0.017612120574332438,,0.9706278805668465,,1,0.1,0.0,1.0
FRED,14,TCN,0.1102,0.0042,0.0551,0.0107,1.1447,0.0743,3,0.1 ± 0.0,0.1 ± 0.0,1.1 ± 0.1
FRED,14,SARIMA,0.11035398230088497,,0.01734513274336283,,0.9912924786419092,,1,0.1,0.0,1.0
FRED,14,Autoformer_NoDecomp,0.121,0.0,0.0993,0.0,1.2394,0.0,3,0.1 ± 0.0,0.1 ± 0.0,1.2 ± 0.0
FRED,14,Autoformer,0.157,0.0113,0.0444,0.0064,1.8463,0.2387,3,0.2 ± 0.0,0.0 ± 0.0,1.8 ± 0.2
FRED,30,ARIMA,0.12092946919105146,,0.02141743030884571,,1.202509908037928,,1,0.1,0.0,1.2
FRED,30,SARIMA,0.12115044247787611,,0.021150442477876102,,1.2088408685754253,,1,0.1,0.0,1.2
FRED,30,Autoformer_NoDecomp,0.1522,0.0,0.1349,0.0,2.1033,0.0,3,0.2 ± 0.0,0.1 ± 0.0,2.1 ± 0.0
FRED,30,Autoformer,0.1558,0.0002,0.1168,0.0003,2.0765,0.0122,3,0.2 ± 0.0,0.1 ± 0.0,2.1 ± 0.0
FRED,30,TCN,0.1817,0.0086,0.1156,0.0102,3.078,0.2364,3,0.2 ± 0.0,0.1 ± 0.0,3.1 ± 0.2
